yellow_cards,red_cards,goals,assists,minutes_played,games,player_id,season
5,0,3,5,2602,30,185966,2023
8,0,9,1,2159,29,186031,2017
2,0,6,1,1402,20,186031,2018
4,0,1,0,454,7,186031,2019
0,0,0,1,358,8,186059,2018
2,0,1,1,1044,19,186064,2012
3,0,1,0,2198,35,186064,2013
5,0,0,0,928,13,186064,2014
4,0,0,0,994,15,186064,2015
0,0,0,0,338,4,186064,2016
1,0,0,0,282,8,186064,2017
4,0,10,2,1729,37,186172,2021
1,0,2,0,403,12,186172,2022
4,0,1,0,384,17,186172,2023
0,0,0,0,22,4,186176,2014
0,0,5,2,1496,28,186186,2018
7,0,6,3,2503,35,186186,2020
8,0,4,1,2692,41,186186,2022
2,0,6,3,1608,30,186186,2023
3,0,5,0,1327,23,186228,2012
0,0,1,1,269,6,186228,2013
0,0,4,0,1064,21,186228,2014
2,0,7,4,1575,31,186228,2015
1,0,6,5,1654,34,186228,2016
1,0,11,5,1422,26,186228,2017
0,0,3,0,73,5,186233,2018
2,0,1,5,949,31,186233,2019
1,0,1,0,90,1,186233,2020
2,0,7,0,1202,15,186260,2016
2,0,7,2,2258,32,186260,2017
3,0,1,0,1552,25,186260,2018
0,0,2,1,445,11,186260,2019
3,0,0,5,2442,30,186269,2014
0,0,0,0,189,4,186269,2017
0,0,0,0,109,2,186269,2019
2,0,4,2,1046,23,186279,2018
0,0,1,1,841,18,186279,2019
0,0,0,0,318,7,186282,2013
3,0,5,0,597,21,186282,2020
0,0,0,0,232,4,186290,2019
0,0,3,1,905,14,186292,2014
6,0,0,1,2139,27,186337,2013
4,0,5,6,3223,36,186337,2014
3,0,4,5,3108,35,186337,2017
5,0,0,1,2951,34,186337,2018
1,0,3,3,3000,33,186337,2019
4,1,2,5,3115,35,186337,2020
6,0,0,0,2253,27,186337,2021
5,0,0,1,1146,23,186337,2022
4,0,0,1,2120,27,186337,2023
0,0,0,0,987,18,186342,2012
0,0,0,0,893,17,186342,2014
0,0,0,0,180,2,186342,2016
5,0,0,1,1020,14,186342,2017
0,0,0,0,107,4,186357,2012
5,0,2,7,2446,33,186368,2017
7,0,3,7,3043,34,186368,2018
2,1,2,2,1092,26,186368,2019
4,0,2,1,1505,28,186368,2020
2,0,0,2,1274,26,186368,2021
4,0,0,4,1401,25,186368,2022
2,0,0,2,1537,22,186368,2023
0,0,0,1,11,2,186383,2016
3,0,1,1,2149,26,186383,2017
1,0,0,1,511,10,186383,2018
4,0,1,1,2362,30,186383,2019
5,0,2,2,1227,34,186399,2021
3,0,31,4,3523,42,18644,2012
3,0,17,6,2261,44,18644,2013
4,0,6,5,1735,34,18644,2014
0,0,12,3,2160,40,18644,2015
7,0,10,4,3037,39,18644,2016
3,0,8,7,1528,36,18644,2017
2,0,3,1,374,6,18644,2018
5,0,8,4,2216,35,18644,2020
3,0,10,5,2418,39,18644,2021
1,0,2,2,824,22,18644,2022
4,0,0,0,1954,24,18646,2012
6,1,1,1,1178,13,18646,2018
1,0,0,0,818,18,186477,2021
1,0,0,1,271,6,186486,2017
0,0,0,3,1981,23,186486,2018
0,0,3,4,2209,29,186486,2019
1,0,0,0,901,13,186486,2020
1,0,0,1,1567,18,186494,2012
0,0,0,1,644,9,186494,2013
6,0,4,3,1429,23,186499,2016
0,0,0,0,1,1,186499,2017
3,0,12,4,2761,34,186531,2015
0,0,1,0,334,18,186531,2016
3,0,3,5,1976,33,186531,2017
0,0,0,0,319,5,186557,2012
7,0,0,0,2880,32,186557,2013
7,0,1,0,2468,28,186557,2014
4,1,1,0,1433,17,186557,2015
10,0,1,0,3388,38,186557,2016
1,0,0,1,1350,15,186557,2017
8,0,1,0,2097,24,186557,2019
5,0,0,0,2402,27,186557,2020
0,0,0,0,96,7,186589,2014
0,0,0,0,115,2,186590,2012
1,0,0,0,1639,24,186590,2013
1,1,1,0,2426,28,186590,2014
3,0,0,0,2871,35,186590,2015
1,0,2,0,3080,40,186590,2016
0,0,3,0,1936,25,186590,2017
1,0,0,1,2551,36,186590,2018
0,0,0,1,1453,21,186590,2019
0,1,4,0,2775,34,186590,2020
1,0,2,0,2099,27,186590,2021
2,0,3,3,2669,33,186590,2022
1,0,0,0,1056,16,186590,2023
4,1,0,0,1474,17,186593,2014
2,0,4,0,572,14,186614,2012
1,0,1,1,743,19,186614,2013
0,0,0,0,224,5,186621,2015
2,0,4,0,2386,31,186639,2018
1,0,0,0,981,18,186644,2018
2,0,5,3,1264,19,186644,2019
2,0,15,6,2126,40,186644,2020
4,0,5,3,2409,36,186644,2021
4,0,1,1,2269,34,186644,2022
2,0,7,3,1935,28,186644,2023
0,0,0,0,650,7,186650,2018
5,0,0,0,1025,13,186664,2012
5,0,0,0,1834,25,186664,2013
0,0,2,2,1171,21,186704,2014
0,0,2,7,1229,24,186704,2015
2,0,5,2,1201,19,186704,2016
1,0,9,5,2705,35,186704,2017
5,0,12,7,2676,35,186704,2018
0,0,2,1,579,9,186704,2019
1,0,0,1,406,11,186704,2023
0,1,0,0,167,2,18673,2012
0,0,5,3,1040,19,186763,2014
1,0,4,3,597,30,186763,2015
0,0,11,0,1301,23,186763,2016
2,0,7,5,2224,29,186763,2017
0,0,0,1,469,15,186763,2018
1,0,6,3,1809,29,186763,2022
0,1,5,0,1106,15,186763,2023
3,0,0,0,1767,20,186769,2020
0,0,0,1,425,9,186790,2014
0,0,0,2,315,5,186790,2016
1,0,1,0,118,4,186796,2013
4,0,1,2,1460,21,186798,2022
0,0,2,1,805,19,186798,2023
2,0,2,1,813,18,186848,2019
8,0,2,2,766,26,186848,2021
8,0,0,1,1993,33,186848,2022
3,0,0,1,1254,20,186848,2023
0,0,0,0,13,1,186858,2012
2,0,1,2,836,18,186858,2013
2,0,1,1,1047,16,186858,2014
1,0,1,0,810,20,186858,2015
8,0,0,2,3171,36,186862,2014
10,0,2,0,2606,35,186862,2015
3,0,1,0,496,10,186862,2018
5,0,1,0,1116,15,186862,2019
7,1,3,1,2739,31,186862,2020
10,0,1,0,2690,32,186862,2021
7,0,0,0,1745,23,186862,2022
10,0,1,3,1673,22,186863,2015
6,0,0,1,1286,18,186863,2016
13,0,0,1,2306,28,186863,2017
1,0,0,1,360,4,186878,2012
6,0,4,1,2700,30,186878,2013
1,0,0,0,270,3,186878,2018
1,0,0,1,1039,13,186891,2012
2,0,0,0,957,14,186891,2016
0,0,1,1,434,5,186891,2019
0,0,0,0,390,4,186901,2020
0,0,0,0,90,1,186901,2021
0,0,0,0,540,6,186901,2022
0,0,0,0,450,5,186901,2023
1,0,0,0,297,8,186922,2013
0,0,0,0,360,4,186923,2014
0,0,0,0,90,1,186923,2019
0,0,0,0,90,1,186924,2018
1,0,4,1,1139,19,186924,2019
3,0,9,5,1905,25,186924,2020
3,0,0,2,2593,33,186926,2017
7,0,5,2,1420,30,186988,2019
3,0,4,2,435,16,186988,2021
2,1,6,1,798,29,186988,2022
2,0,1,1,552,15,186988,2023
1,0,1,2,932,29,186997,2012
2,0,5,6,2297,28,186997,2013
0,0,0,2,275,12,186997,2014
0,0,2,0,386,12,186997,2015
1,0,2,2,1789,29,186997,2017
2,0,1,0,1531,31,186997,2018
2,0,0,5,949,23,186997,2019
0,0,1,0,45,3,186997,2022
2,0,2,1,1710,20,187015,2018
4,0,0,0,615,11,18702,2017
0,0,0,1,441,7,187024,2016
5,0,0,4,2670,29,187024,2017
0,0,0,1,1871,21,187024,2018
3,0,0,5,2605,29,187024,2019
6,0,1,2,2613,36,187024,2020
0,0,0,1,557,10,187024,2021
4,0,2,1,2314,30,187024,2022
0,0,0,2,1115,14,187024,2023
0,0,0,0,247,7,187042,2016
1,0,0,0,744,16,187047,2019
1,0,2,0,533,17,187077,2013
1,0,1,1,245,9,187077,2014
0,0,1,0,495,15,187077,2015
0,0,2,1,462,7,187077,2016
1,0,1,2,752,18,187077,2019
0,0,0,0,608,8,187090,2013
2,0,0,0,593,8,187090,2014
1,0,0,0,842,10,187090,2015
0,0,1,0,232,6,187097,2016
8,0,3,2,2696,31,187098,2012
8,0,4,1,2532,28,187098,2013
4,0,0,0,1063,15,187098,2017
4,0,2,0,1380,15,187098,2018
4,1,0,4,1167,18,187103,2021
0,0,0,0,463,11,187103,2022
2,0,4,2,2803,32,187105,2012
1,0,0,0,416,9,187105,2013
1,0,3,0,1434,22,187105,2014
4,0,1,1,1428,18,187105,2015
1,0,1,1,751,9,187105,2016
6,0,1,0,2468,30,187105,2017
3,0,0,0,1352,22,187105,2020
4,0,3,2,2677,34,187105,2021
3,1,1,1,2397,28,187105,2022
3,0,2,0,1055,14,187105,2023
2,0,0,1,532,10,187115,2016
3,0,1,0,2507,30,187147,2016
5,0,0,0,2057,27,187147,2017
1,0,1,0,1412,18,187147,2018
6,0,0,0,2196,25,187147,2019
0,0,0,0,1122,17,187147,2020
3,0,0,0,2844,33,187188,2014
5,0,0,2,2226,25,187188,2015
2,0,0,0,1817,22,187188,2016
1,0,0,0,189,4,187188,2017
1,0,0,0,239,4,187188,2018
6,0,0,3,2835,34,187188,2021
1,0,3,1,1906,23,187188,2022
6,0,4,4,2100,23,187188,2023
1,0,0,1,946,13,187191,2015
1,0,0,0,726,16,187191,2016
9,0,0,3,2250,25,187211,2019
11,1,0,0,1857,24,187211,2020
4,1,1,0,1020,12,187211,2022
7,2,0,0,806,12,187211,2023
2,0,0,0,533,9,187245,2012
4,2,0,0,2022,27,187245,2013
6,0,0,1,2492,28,187245,2014
6,0,0,9,3393,39,187245,2015
3,0,0,0,1428,20,187245,2016
2,0,0,0,981,12,187245,2017
5,1,2,0,2292,28,187245,2018
5,0,0,0,1097,14,187245,2019
7,0,0,0,1491,20,187245,2020
2,0,0,2,688,16,187245,2021
1,0,0,0,300,7,187245,2022
4,0,0,1,1367,21,187245,2023
6,1,0,0,2698,31,187283,2013
6,1,0,2,2852,34,187283,2014
12,0,0,2,2014,31,187283,2015
5,0,0,3,3200,36,187283,2016
3,0,0,0,1221,19,187283,2019
6,0,0,0,2301,26,187283,2020
4,0,0,1,2077,25,187283,2021
1,0,0,0,158,4,187283,2022
1,0,1,1,215,3,187285,2013
0,0,0,0,45,2,187285,2014
0,0,1,0,182,9,187288,2013
0,0,0,2,979,15,187288,2014
2,1,0,0,635,11,187288,2018
2,0,0,1,919,15,187290,2013
1,0,0,1,528,14,187290,2020
3,0,1,0,2620,29,187291,2014
5,0,0,0,1529,19,187291,2018
1,0,0,0,1688,23,187291,2022
1,0,1,0,1132,19,187291,2023
0,0,1,0,95,2,187292,2012
0,0,0,1,347,5,187292,2013
0,0,0,0,438,7,187293,2012
1,0,1,1,1120,19,187293,2014
4,0,0,2,3325,37,187293,2015
3,0,2,2,3473,39,187293,2016
3,0,1,1,1879,22,187293,2017
1,0,1,0,1385,21,187293,2022
3,0,5,2,2268,29,187295,2015
0,0,0,0,12,1,187295,2018
4,0,2,1,2796,32,187296,2017
5,1,1,1,2762,32,187296,2018
0,0,0,0,26,3,187298,2012
1,0,3,4,1349,27,187298,2013
4,0,11,4,2916,34,187298,2014
3,0,5,6,2214,33,187298,2015
0,0,4,3,1277,30,187298,2016
0,0,1,1,1198,24,187298,2017
2,0,3,2,1517,26,187298,2018
2,0,2,2,621,10,187298,2019
0,0,0,0,5,2,187299,2012
0,0,0,0,27,2,187299,2013
0,0,0,1,2833,33,187299,2018
0,0,0,0,1287,16,187299,2021
0,0,0,0,90,1,187301,2012
1,0,0,1,750,12,187301,2013
3,0,3,1,2179,30,187301,2014
0,0,0,0,206,5,187301,2015
0,0,0,2,1811,25,187301,2016
3,0,1,3,1448,21,187301,2017
1,0,0,0,899,16,187301,2018
4,0,3,1,2128,29,187309,2021
0,0,0,0,1,1,187329,2012
0,0,0,0,90,1,187329,2013
0,0,0,1,745,9,187329,2014
4,1,0,2,1442,18,187329,2015
3,0,0,3,1519,21,187329,2016
8,1,1,1,1540,22,187329,2017
4,0,1,0,1527,21,187329,2018
1,0,0,1,582,9,187329,2019
3,0,3,3,2041,24,187329,2020
4,0,3,7,2660,30,187329,2021
5,0,2,3,2165,25,187329,2022
3,0,0,1,1422,21,187329,2023
4,1,0,2,1347,19,187359,2018
0,0,0,1,353,6,187359,2019
3,0,0,1,295,8,187364,2017
2,0,0,1,395,7,187364,2018
4,0,1,2,1225,34,187384,2022
0,0,0,0,22,2,187392,2013
4,0,2,4,1512,23,187392,2014
2,0,3,3,1121,26,187392,2015
2,0,0,1,369,6,187392,2016
1,0,0,1,140,9,187392,2017
0,0,0,0,13,1,187460,2012
0,0,0,0,90,1,187460,2013
1,0,3,0,610,10,187460,2014
1,0,4,1,1379,23,187460,2015
4,0,0,3,928,27,187460,2016
0,0,3,1,654,16,187460,2017
2,0,1,1,871,24,187460,2018
5,0,3,3,1325,22,187460,2019
4,1,3,3,1573,26,187460,2020
3,1,0,5,1801,27,187460,2021
6,0,2,1,1570,29,187460,2022
1,0,0,0,1646,20,187491,2014
3,0,0,0,1727,21,187491,2015
4,0,0,0,2790,31,187491,2017
2,0,1,0,1710,19,187491,2018
1,1,2,0,1774,22,187491,2019
0,0,0,0,983,14,187491,2020
5,0,1,2,2829,32,187491,2021
2,0,0,1,565,8,187491,2022
1,0,2,3,654,14,187492,2013
0,0,4,5,1552,35,187492,2014
0,0,10,9,2152,44,187492,2015
0,0,4,11,2840,40,187492,2016
0,0,12,7,2733,39,187492,2017
0,0,10,16,3337,43,187492,2018
1,0,7,13,2877,42,187492,2019
0,0,4,2,1987,45,187492,2020
3,0,9,10,2768,40,187492,2021
2,0,10,9,3104,42,187492,2022
1,0,8,9,1903,27,187492,2023
0,0,0,0,84,4,187496,2015
0,0,0,0,7,1,187496,2016
0,0,1,0,187,8,187499,2016
0,0,0,1,19,1,187499,2018
1,0,0,0,258,6,187499,2023
2,0,0,1,901,17,187507,2013
3,0,2,1,1522,22,187507,2014
0,0,2,1,1249,21,187507,2015
5,0,8,8,3084,36,187507,2018
3,0,8,9,2626,29,187507,2019
2,0,3,4,2594,37,187507,2020
2,0,4,4,2999,35,187507,2022
0,0,0,0,55,4,187530,2013
0,0,1,0,573,14,187530,2014
2,0,0,1,501,6,187530,2015
8,0,1,3,2364,33,187530,2016
3,0,1,4,2749,32,187530,2017
4,0,0,4,2065,24,187530,2018
0,0,0,4,660,11,187530,2019
0,0,0,0,90,1,187530,2022
1,0,0,0,211,7,187532,2021
1,0,1,0,617,17,187532,2022
1,0,2,0,156,5,187587,2013
5,1,1,0,969,17,187587,2015
11,0,3,2,1744,28,187587,2016
9,0,9,3,2031,28,187587,2017
8,0,10,6,2514,38,187587,2018
7,2,15,5,2061,36,187587,2019
5,1,11,9,2074,33,187587,2020
3,0,3,2,1107,29,187587,2021
4,0,3,2,1229,31,187587,2022
6,0,0,3,458,18,187587,2023
3,0,3,4,2347,31,18759,2012
7,0,2,2,2230,27,18759,2013
6,1,0,0,2565,29,18759,2014
9,1,0,4,3211,36,18759,2015
3,1,1,2,2174,26,18759,2016
6,0,0,1,2337,28,18759,2017
9,0,0,3,2781,31,18759,2018
7,0,1,1,2070,23,18759,2019
0,0,0,0,90,1,187594,2013
0,1,0,0,1440,16,187594,2017
0,0,0,0,950,11,187594,2018
4,0,2,5,1797,33,187598,2014
0,0,1,0,619,11,187598,2015
4,0,0,0,943,26,187598,2016
0,0,2,0,1199,32,187598,2017
0,0,0,0,3,1,187598,2018
0,0,0,0,82,4,187601,2012
0,0,0,0,109,2,187601,2014
4,0,0,0,1840,22,187601,2017
3,0,0,0,1091,14,187601,2018
1,0,0,0,630,7,187601,2019
0,0,1,0,738,13,187602,2013
0,1,0,0,57,1,187603,2013
1,0,0,2,1057,15,187603,2014
3,0,7,0,1742,28,187622,2016
0,0,0,0,1216,14,187624,2018
0,0,0,0,270,3,187624,2020
0,0,0,0,540,6,187624,2021
4,0,0,0,1710,19,187624,2022
0,0,0,0,90,1,187624,2023
0,0,0,0,32,2,187673,2014
0,0,0,0,13,1,187674,2012
2,0,0,0,576,14,187697,2016
6,1,2,7,2518,37,187697,2017
5,0,0,1,1058,19,187697,2018
1,0,0,0,276,7,187697,2020
1,0,0,0,482,14,187718,2014
3,0,0,1,1154,18,187718,2015
4,0,0,2,2280,27,187718,2016
7,0,0,2,1349,17,187718,2017
1,0,1,1,1255,20,187718,2018
10,0,0,3,2987,35,187718,2019
6,0,1,2,3576,42,187718,2020
6,0,2,2,3530,40,187718,2021
5,0,0,3,1811,25,187718,2022
3,0,0,0,1363,17,187718,2023
4,0,7,6,1827,25,187744,2012
2,0,2,4,961,23,187744,2013
1,0,3,4,1412,22,187744,2014
2,0,6,7,2125,27,187744,2015
0,0,0,3,514,8,187744,2016
1,0,0,0,1377,19,187759,2012
0,0,0,0,90,1,187759,2017
0,0,0,0,125,4,187786,2012
1,0,0,0,173,8,187786,2013
0,0,0,0,799,18,187786,2014
2,0,0,0,1170,13,187798,2012
6,0,0,0,2970,33,187798,2013
3,0,0,0,1890,21,187798,2015
2,0,0,0,720,8,187798,2017
3,0,0,0,2602,29,187798,2018
2,0,0,0,2790,31,187798,2019
3,0,0,0,2340,26,187798,2020
0,0,0,0,1170,13,187798,2021
1,0,1,0,1048,14,187800,2012
2,0,0,0,1338,16,187800,2013
5,0,1,2,1008,23,187809,2012
7,0,3,3,1992,29,187809,2013
1,1,6,2,1683,34,187809,2014
2,0,0,1,1842,31,187809,2016
3,0,3,6,1824,37,187809,2017
3,0,8,7,2841,38,187809,2018
3,0,0,2,545,18,187809,2019
5,0,10,5,2946,33,187809,2021
6,0,4,9,2559,32,187809,2022
3,0,1,1,1247,19,187809,2023
4,0,2,1,532,20,187847,2012
0,0,2,2,602,16,187847,2013
0,0,2,0,426,12,187847,2014
4,0,5,0,1404,26,187847,2015
3,0,3,4,1720,27,187847,2016
8,0,1,5,2309,31,187847,2017
4,0,0,2,1129,18,187847,2018
3,0,0,0,478,12,187847,2019
1,0,2,0,410,7,187847,2020
1,0,2,1,762,12,187847,2021
1,0,0,0,145,6,187860,2012
10,0,2,3,2760,39,187860,2015
3,0,1,1,2180,34,187860,2016
11,0,3,0,2510,34,187860,2017
5,1,2,0,1997,27,187860,2019
6,0,1,2,1122,25,187860,2020
4,0,0,0,1414,17,187896,2012
12,1,2,1,2220,27,187896,2013
0,0,0,0,325,5,187896,2014
1,0,0,0,1183,15,187896,2016
2,0,0,0,1322,16,187896,2017
3,0,1,0,1171,16,187896,2018
1,0,0,0,1360,16,187908,2014
0,0,0,0,98,3,187908,2015
3,0,0,0,508,9,187908,2018
1,0,0,0,334,10,187908,2019
1,0,0,0,995,12,187908,2022
2,0,1,0,394,12,187914,2012
2,0,0,0,1040,14,187915,2012
1,0,0,1,2138,29,187957,2012
7,0,1,2,2160,29,187957,2014
9,0,0,1,2583,30,187957,2015
8,0,0,1,1290,19,187957,2016
4,0,0,0,1454,20,187957,2017
8,0,5,3,1352,24,187959,2012
2,0,4,5,1962,33,187959,2013
0,0,0,0,240,3,187961,2012
0,0,0,1,622,11,187961,2013
4,0,0,0,881,11,187961,2014
7,0,0,2,2404,28,187962,2013
5,0,0,1,2021,24,187962,2014
6,0,0,2,1863,23,187962,2018
4,0,0,0,719,10,187962,2019
3,0,0,0,991,17,187962,2020
4,0,1,0,1612,19,187976,2016
0,0,0,0,72,4,187976,2017
6,0,0,1,1693,20,18807,2012
1,0,3,0,451,16,188077,2013
4,0,4,3,2599,41,188077,2014
3,0,4,6,1463,21,188077,2015
0,0,8,3,1024,21,188077,2016
9,0,8,14,3114,37,188077,2017
1,0,9,7,2271,36,188077,2018
7,1,20,15,3096,42,188077,2019
4,0,6,14,2980,40,188077,2020
0,0,0,0,242,3,188077,2021
2,0,2,1,1910,33,188077,2022
3,0,1,2,2098,28,188077,2023
1,0,6,4,2254,40,188131,2016
2,0,11,2,2152,33,188131,2017
3,0,2,0,498,11,188131,2020
1,0,3,0,817,24,188131,2021
5,0,0,1,1155,21,188157,2013
0,0,0,0,167,2,188157,2014
7,0,0,0,2211,33,188157,2015
1,0,1,2,1168,27,188157,2016
1,0,0,0,266,7,188157,2017
3,0,0,1,430,14,188157,2018
2,0,0,0,1054,20,188157,2019
4,1,5,5,1964,32,188180,2015
4,0,4,3,1945,31,188180,2016
6,1,13,8,2619,32,188180,2017
7,0,12,4,2639,31,188180,2018
7,1,11,2,2136,29,188180,2019
1,0,3,2,957,21,188180,2020
3,0,3,2,1227,25,188180,2022
4,0,3,0,942,20,188180,2023
0,0,0,1,623,20,18828,2012
0,0,2,0,1013,18,18828,2013
2,0,6,6,1084,12,18829,2012
0,0,1,1,270,3,18829,2013
1,0,4,0,783,12,18829,2015
8,0,23,3,2455,28,18829,2016
6,0,14,3,1757,26,18829,2017
0,0,7,0,768,16,18829,2018
1,0,5,3,826,13,18829,2021
2,0,0,0,375,5,18831,2015
0,0,1,0,894,18,188312,2017
1,0,0,2,392,6,18833,2012
2,0,1,0,1492,22,18833,2013
0,0,0,0,69,1,188335,2012
2,0,0,0,326,10,188335,2013
3,0,4,2,1087,15,188335,2015
1,0,0,0,187,8,188335,2016
4,0,1,1,894,13,188335,2017
5,0,2,1,1552,18,188335,2018
3,0,0,1,710,13,188335,2019
7,0,2,1,1596,23,188335,2020
2,0,1,1,520,8,188335,2022
5,0,1,3,1325,20,188335,2023
1,0,0,0,261,10,188338,2012
3,0,0,2,312,16,188338,2013
0,0,0,0,205,5,188338,2014
2,0,3,2,448,18,188338,2016
2,0,7,0,1641,23,188338,2017
6,0,9,6,2192,27,188338,2018
0,0,0,1,183,6,188338,2019
4,0,2,2,845,14,188338,2020
1,0,3,1,617,17,188338,2021
2,0,2,2,714,17,188338,2022
0,0,0,0,59,3,188470,2012
12,0,4,0,3110,35,188470,2022
5,0,5,4,1296,27,188498,2013
1,0,0,0,90,7,188498,2014
2,1,0,0,515,12,188498,2015
0,0,0,0,16,1,188498,2016
1,0,0,0,116,5,188501,2014
2,0,2,1,530,13,188501,2016
1,0,0,2,1621,20,188588,2012
2,0,0,0,916,15,188588,2013
6,0,0,2,1689,23,188588,2014
5,0,1,2,1546,23,188588,2015
4,0,2,4,1582,25,188588,2016
5,1,0,1,1446,18,188588,2017
1,0,0,3,1568,21,188588,2018
6,0,4,4,2029,30,18860,2012
5,0,6,2,2367,32,18860,2013
0,0,0,0,225,3,188613,2021
9,0,0,0,2625,30,188650,2020
5,0,0,2,1800,20,188650,2021
2,0,0,0,872,10,188650,2022
2,0,0,0,753,11,188650,2023
2,0,0,0,254,6,188651,2013
2,0,0,0,140,9,188651,2018
2,0,6,5,1559,26,188651,2019
1,1,1,0,1900,24,188660,2014
6,0,0,0,2062,23,188660,2015
10,1,3,2,2842,33,188660,2016
7,0,0,2,2970,33,188660,2017
10,0,3,3,2976,33,188660,2018
3,0,2,1,2379,27,188660,2019
3,0,0,0,545,8,188669,2012
4,0,1,0,553,11,188669,2013
8,0,0,1,1051,15,188669,2018
1,0,0,0,313,5,188689,2012
9,1,4,9,2267,31,18870,2012
0,0,0,1,274,8,18870,2013
4,0,1,9,2951,37,18871,2012
0,0,0,1,314,7,188733,2013
0,0,0,1,87,2,188733,2015
10,0,1,0,2115,24,18878,2012
10,0,0,0,2001,24,18878,2013
9,0,0,0,2897,33,188838,2015
10,0,1,0,1446,18,188838,2016
5,0,0,0,1673,22,188838,2017
5,0,0,1,1336,19,188838,2018
3,0,0,0,1099,14,188838,2019
8,0,1,0,2381,28,188838,2020
1,0,1,0,553,13,188853,2012
2,0,2,6,1817,35,188853,2013
1,0,1,0,574,13,188853,2014
2,0,1,4,1409,21,188853,2015
9,0,7,15,3784,44,188853,2016
4,0,5,6,2292,28,188853,2017
8,0,7,18,3366,41,188853,2018
1,0,4,3,815,12,188853,2022
6,0,2,3,2205,38,188854,2013
6,0,3,4,2918,45,188854,2015
4,0,7,2,3684,45,188854,2016
11,0,4,4,3493,44,188854,2017
3,0,0,1,1666,26,188854,2018
6,0,2,5,1681,31,188854,2019
10,1,2,8,3858,54,188854,2020
3,0,8,4,2749,47,188854,2021
2,1,0,1,987,26,188854,2022
0,0,3,0,729,18,188854,2023
2,0,0,1,897,11,188862,2015
3,0,0,0,630,10,188862,2016
0,0,0,0,90,1,188862,2018
4,0,0,3,2594,34,188862,2019
3,0,0,0,1762,22,188862,2020
6,0,0,3,2041,29,188862,2021
0,0,0,0,180,2,188862,2022
0,0,1,2,480,11,188888,2014
2,0,4,5,1638,24,188888,2015
3,0,3,2,1827,31,188888,2016
3,0,2,7,2220,27,188888,2017
4,0,8,10,3051,35,188888,2018
1,0,0,2,595,14,188888,2019
2,0,3,3,1244,20,188888,2020
6,0,6,6,2116,34,188888,2021
6,0,12,10,3749,48,188888,2022
0,0,4,2,1321,21,188888,2023
0,0,0,0,126,8,188905,2012
1,0,0,2,887,19,188905,2015
5,0,8,0,2025,31,188905,2016
4,0,3,3,1950,24,188905,2017
2,0,1,1,645,24,188905,2018
4,0,1,2,833,14,188905,2019
1,0,10,11,2648,31,188911,2017
2,0,5,6,1257,14,188911,2018
2,0,0,3,1095,24,188911,2019
1,0,0,1,218,8,188911,2020
1,0,1,3,1773,22,188911,2021
0,1,0,0,629,15,188911,2022
1,0,6,1,1979,26,188914,2020
1,0,1,1,1147,25,188914,2021
0,0,0,0,1493,21,188915,2018
3,0,0,0,1657,19,188915,2019
0,0,0,0,1386,17,188915,2020
0,0,0,0,18,2,188922,2012
4,0,1,4,896,16,18893,2012
1,0,0,0,180,2,188930,2019
1,0,0,0,1350,15,188930,2021
0,0,0,0,132,2,18894,2012
0,0,0,0,12,2,188942,2016
1,1,0,1,456,9,188942,2017
1,0,4,3,1592,22,18900,2012
2,0,3,4,1393,28,18900,2013
1,0,0,0,384,8,18900,2014
2,0,17,6,2842,34,18900,2015
1,0,1,2,838,27,18900,2016
1,0,9,3,2630,35,18900,2018
1,0,0,0,158,5,18900,2019
2,0,2,5,1708,24,18900,2020
2,0,0,1,337,9,18900,2021
2,0,0,0,2226,26,18901,2012
2,0,0,1,2448,35,18901,2013
9,0,1,1,3143,36,18901,2014
7,0,0,1,2940,36,18901,2015
0,0,0,0,419,6,18901,2016
0,0,0,0,35,2,189032,2021
0,0,0,0,180,2,189039,2014
0,0,1,2,1287,20,189044,2016
0,0,2,2,1814,26,189044,2017
1,0,1,2,751,13,189044,2018
0,0,8,4,2201,29,189044,2019
1,0,2,2,1726,26,189044,2020
1,0,1,0,293,5,189047,2014
7,1,3,1,2909,34,189047,2015
4,1,3,0,2880,32,189047,2016
0,0,2,0,779,12,189047,2019
1,0,0,0,164,5,189047,2020
1,0,11,3,2214,36,189053,2013
4,0,6,2,1079,23,189053,2014
0,0,8,3,1446,27,189053,2015
0,0,0,0,205,7,189053,2019
2,0,1,2,430,13,189070,2014
0,0,1,2,796,23,189070,2015
1,0,0,2,1149,18,189070,2016
3,1,3,2,1879,24,189070,2019
0,0,0,0,74,6,189073,2015
0,0,0,0,91,2,189073,2016
1,0,0,0,1782,23,189073,2020
1,0,3,1,1001,19,18909,2012
2,0,7,5,1899,35,18909,2013
2,0,3,8,2157,30,18909,2014
3,0,7,7,2938,35,18909,2015
2,0,12,6,2884,34,18909,2016
4,0,11,2,3212,37,18909,2017
3,0,10,3,3023,42,18909,2018
1,0,7,1,1527,22,18909,2019
2,0,1,2,549,24,18909,2020
1,0,2,1,212,17,18909,2021
0,0,0,0,2,1,189098,2016
4,0,4,7,1512,22,18912,2012
0,0,3,6,1579,26,18912,2013
0,0,3,4,772,17,18912,2014
0,0,2,0,620,12,18912,2015
3,0,4,3,2301,27,18912,2016
0,0,1,1,426,10,18912,2017
0,0,0,0,126,8,18912,2018
3,0,0,0,373,11,189151,2012
12,0,2,2,3489,43,189151,2013
3,0,0,2,1339,24,189151,2014
6,0,1,2,2221,28,189151,2015
2,0,2,4,1247,22,189151,2016
